State,Capitol,Region,US House Seats,Population,COVID-19 Cases,COVID-19 Deaths,Median Household Income,Violent Crime Rate
Montana,Helena,West,2,1084225,128098,1803,54970,404.9
Indiana,Indianapolis,Midwest,9,6785528,863299,14520,56303,370.8
Maine,Augusta,New England,2,1362359,76913,937,57918,115.2
New Jersey,Trenton,Middle Atlantic,12,9288994,1094249,26902,82545,206.9
Idaho,Boise,West,2,1839106,222552,2371,55785,223.8
Wisconsin,Madison,Midwest,8,5893718,736263,8496,61747,293.3
New Mexico,Santa Fe,Southwest,3,2117522,233487,4529,49754,832.2
Washington,Olympia,West,10,7705281,567104,6611,73775,293.9
Florida,Tallahassee,South,28,21538187,3291225,45909,55660,378.4
Nebraska,Lincoln,Midwest,3,1961504,246218,2339,61439,300.9
Maryland,Annapolis,Middle Atlantic,8,6177224,499648,10040,84805,454.1
Pennsylvania,Harrisburg,Middle Atlantic,17,13002700,1303468,28235,61744,306.4
North Carolina,Raleigh,South,14,10439388,1220902,14529,54602,371.8
Michigan,Lansing,Midwest,13,10077331,1065671,21616,57144,437.4
Kentucky,Frankfort,South,6,4505836,581982,7776,50589,217.1
Wyoming,Cheyenne,West,1,576851,76007,858,64049,217.4
Nevada,Carson City,West,4,3104614,392052,6539,60365,493.8
California,Sacramento,West,52,39538223,4429964,65430,75235,441.2
Georgia,Atlanta,South,14,10711908,1413284,22870,58700,340.7
Ohio,Columbus,Midwest,15,11799448,1228002,20866,56602,293.2
Virginia,Richmond,Middle Atlantic,11,8631393,774098,11880,74222,208
Massachusetts,Boston,New England,9,7029917,761906,18257,81215,327.6
New Hampshire,Concord,New England,2,1377529,108021,1420,76768,152.5
Kansas,Topeka,Midwest,4,2937880,373171,5581,59597,410.8
Iowa,Des Moines,Midwest,4,3190369,408390,6307,60523,266.6
Louisiana,Baton Rouge,South,6,4657757,692176,12582,49469,549.3
Illinois,Springfield,Midwest,17,12812508,1528120,26535,65886,406.9
Connecticut,Hartford,New England,5,3605944,373784,8358,78444,183.6
New York,Albany,Middle Atlantic,26,20201249,1246065,20308,68486,358.6
Missouri,Jefferson City,Midwest,8,6154913,763674,10632,55461,495
Oregon,Salem,West,6,4237256,279087,3221,62818,284.4
Oklahoma,Oklahoma City,Southwest,5,3959353,554496,8056,52919,431.8
Arkansas,Little Rock,South,4,3011524,455781,6969,47597,584.6
Mississippi,Jackson,South,4,2961279,443511,8507,45081,277.9
Alaska,Juno,West,1,733391,85358,435,77640,867.1
Texas,Austin,Southwest,38,29145505,3611990,55955,61874,418.9
South Carolina,Columbia,South,7,5118425,740634,10766,53199,511.3
Alabama,Montgomery,South,7,5024279,709732,12330,50536,510.8
Vermont,Montpelier,New England,1,643077,26457,266,61973,202.2
Tennessee,Nashville,South,9,6910840,1061228,13518,53320,595.2
Arizona,Phoenix,Southwest,9,7151502,1016663,18853,58945,455.3
West Virginia,Charleston,Middle Atlantic,2,1793716,191156,3106,46711,316.6
Colorado,Denver,West,8,5773714,618072,7151,72331,381
North Dakota,Bismarck,Midwest,1,779094,118491,1562,64894,284.6
South Dakota,Pierre,Midwest,1,886667,132837,2069,58275,399
Delaware,Dover,Middle Atlantic,1,989948,120180,1887,68287,422.6
Minnesota,St Paul,Midwest,8,5706494,651388,7910,71306,236.4
Hawaii,Honolulu,West,2,1455271,61800,598,81275,285.5
Utah,Salt Lake City,West,4,3271616,466107,2640,71621,235.6
Rhode Island,Providence,New England,2,1097379,162969,2772,67167,221.1
